ID1, ID2, A12, A21, alpha12,,,
601,509,649.8687,-453.4673,0.306,Styrene,Propylbenzene,
703,702,-615.673,811.3338,0.335,TwoMethylNaphthalene,OneMethylNaphthanlene,
1003,1101,1046.6524,-865.266,0.3084,PropionicAldehyde,Methanol,
1006,1921,1166.8333,1090.0262,0.2862,Isobutyraldehyde,Water,
1051,1101,184.2662,226.558,0.3009,Acetone,Methanol,
1051,1102,36.2965,434.8228,0.2987,Acetone,Ethanol,
1051,1521,-651.1909,301.8389,0.3054,Acetone,Chloroform,
1051,501,-396.4935,886.5703,0.2971,Acetone,Benzene,
1051,1181,-754.9547,-280.383,0.3086,Acetone,Phenol,
1051,137,429.8705,727.649,0.2925,Acetone,CycloHexane,
1051,502,-247.9492,727.5102,0.295,Acetone,Toluene,
1052,1103,148.867,213.3829,0.3016,TwoButanone,OnePropanol,
1052,501,-644.8573,898.3999,0.1563,TwoButanone,Benzene,
1052,137,605.7381,235.4493,0.2963,TwoButanone,CycloHexane,
1052,502,503.0737,-181.5533,0.2996,TwoButanone,Toluene,
1052,17,681.5104,931.4616,0.9809,TwoButanone,nHeptane,
1052,1921,674.4614,1809.8868,0.3536,TwoButanone,Water,
1101,1501,378.8254,1430.7379,0.2892,Methanol,Tetrachloromethane,
1101,1698,879.0968,1063.6098,0.6381,Methanol,Tribromomethane,
1101,1772,343.7042,314.5879,0.2981,Methanol,Acetonitrile,
1101,1523,348.6035,1020.1431,0.2921,Methanol,OneTwoDichloroethane,
1101,1252,16.6465,-217.1261,0.3051,Methanol,AceticAcid,
1101,1102,-327.9991,376.2667,0.3057,Methanol,Ethanol,
1101,1844,-168.3182,-497.4171,0.3079,Methanol,Dimethylsulfoxide,
1101,1253,-50.145,-78.0859,0.3056,Methanol,PropionicAcid,
1101,1876,-124.0904,0.3428,9.1633,Methanol,NNDimethylformamide,
1101,1103,24.9003,9.5349,0.3011,Methanol,Propanol,
1101,1821,-90.1051,1217.1035,0.2976,Methanol,Thiophene,
1101,1341,676.836,169.9831,0.2958,Methanol,Methylacrylate,
1101,1052,307.4271,217.9098,0.3003,Methanol,TwoButanone,
1101,1479,169.4153,383.1579,0.3002,Methanol,Tetrahyrofuran,
1101,1421,607.405,76.7683,0.2985,Methanol,OneFourDioxane,
1101,1313,345.5416,420.7355,0.2962,Methanol,Ethylacetate,
1101,1845,1069.2756,906.5741,0.7182,Methanol,Sulfolane,
1101,1105,793.8173,-486.3299,0.2483,Methanol,OneButanol,
1101,1106,-308.561,285.442,0.3036,Methanol,TwoButanol,
1101,1241,446.952,-450.5858,0.3152,Methanol,OneFourButanediol,
1101,1791,-45.0888,84.1956,0.3027,Methanol,Pyridine,
1101,1351,590.279,380.8401,0.2963,Methanol,MethylMethacrylate,
1101,1061,642.3761,-6.2901,0.2987,Methanol,MethylisopropylKetone,
1101,1745,590.882,-1169.7242,0.1387,Methanol,Piperidine,
1101,1864,930.591,1244.1303,0.4701,Methanol,Hexafluorobenzene,
1101,1571,857.0852,1348.0903,0.4707,Methanol,Chlorobenzene,
1101,501,721.6136,1158.5131,0.4694,Methanol,Benzene,
1101,1792,407.744,117.2473,0.3008,Methanol,Aniline,
1101,1797,226.082,-385.6823,0.3095,Methanol,TwoMethylpyridine,
1101,2797,-163.4505,-86.1482,0.3075,Methanol,ThreeMethylpyridine,
1101,2799,304.2242,-452.3483,0.3053,Methanol,FourMethylpyridine,
1101,270,1178.5792,1618.9792,0.4568,Methanol,Cyclohexene,
1101,137,1315.1631,1497.2135,0.4222,Methanol,Cyclohexane,
1101,1315,328.2162,453.0017,0.2961,Methanol,nButylAcetate,
1101,11,1619.3829,1622.2911,0.4365,Methanol,Hexane,
1101,1706,-476.8503,1126.1143,0.2874,Methanol,Triethylamine,
1101,502,939.7275,1090.9297,0.4643,Methanol,Toluene,
1101,2796,-273.332,59.625,0.3051,Methanol,Two6Dimethylpyridine,
1101,17,1313.5497,1143.9059,0.4163,Methanol,OneHeptane,
1101,138,1444.585,1719.4586,0.4397,Methanol,Methylcyclohexane,
1101,17,1500.2043,1519.3346,0.4277,Methanol,Heptane,
1101,504,1080.1231,1038.1572,0.4251,Methanol,Ethylbenzene,
1101,506,991.1609,822.1357,0.291,Methanol,Mxylene,
1101,507,974.6545,851.107,0.2921,Methanol,Pxylene,
1101,250,1456.3583,1147.8132,0.4396,Methanol,OneOctene,
1101,27,1681.6918,1511.4353,0.4381,Methanol,Octane,
1101,41,1447.0909,1386.4703,0.4313,Methanol,TwoTwoFourTrimethylpentane,
1101,1921,-189.0469,792.802,0.2999,Methanol,Water,
1101,1521,-105.4657,1335.3416,0.2873,Methanol,Chloroform,
1101,1102,67.2902,-70.5092,0.3009,Methanol,Ethanol,
1101,1051,296.2432,118.0803,0.3003,Methanol,Acetone,
1101,501,761.7553,1094.8556,0.4893,Methanol,Benzene,
1101,137,1313.9316,1862.4639,0.441,Methanol,CycloHexane,
1101,502,884.023,1008.0037,0.4064,Methanol,Toluene,
1101,17,1566.439,1598.3126,0.4408,Methanol,nHeptane,
1102,1542,685.8542,807.5935,0.29,Ethanol,Tetrachloroethylene,
1102,1772,529.7267,338.1632,0.2964,Ethanol,Acetonitrile,
1102,1523,333.3502,939.387,0.2926,Ethanol,OneTwoDichloroethane,
1102,1252,-34.1971,-190.7763,0.305,Ethanol,Acetic Acid,
1102,1201,1644.0484,-203.7691,0.3704,Ethanol,OneTwoEthanediol,
1102,1104,690.1392,-529.3472,0.3125,Ethanol,TwoPropanol,
1102,1821,222.3096,1057.7115,0.2918,Ethanol,Thiophene,
1102,1052,64.4957,463.1931,0.301,Ethanol,TwoButanone,
1102,1421,505.5637,111.8389,0.2988,Ethanol,OneFourDioxane,
1102,1845,1195.1601,705.0897,0.5676,Ethanol,Sulfolane,
1102,1106,-559.8205,802.5411,0.2721,Ethanol,TwoButanol,
1102,1106,53.1671,82.0442,0.3023,Ethanol,TwoMethylOnePropanol,
1102,1791,163.6655,-169.9802,0.3017,Ethanol,Pyridine,
1102,1351,456.9676,386.5893,0.2963,Ethanol,MethylMethacrylate,
1102,1061,-54.0946,639.6806,0.3009,Ethanol,Methylisopropyl,
1102,1314,760.4933,129.397,0.295,Ethanol,PropylAcetate,
