-25.2901,-86.9343,Ethanol,Acetic Acid,
818.093,-200.1567,Ethanol,OneTwoEthanediol,
437.5184,-324.6275,Ethanol,TwoPropanol,
181.0206,-57.8238,Ethanol,OneTwoPropanediol,
-77.9585,662.4746,Ethanol,Thiophene,
-169.9082,480.2791,Ethanol,TwoButanone,
50.8172,212.2982,Ethanol,OneFourDioxane,
177.7675,306.35,Ethanol,Sulfolane,
-712.473,1116.7138,Ethanol,Morpholine,
-311.9029,474.5511,Ethanol,TwoButanol,
-117.4292,220.9133,Ethanol,TwoMethylOnePropanol,
378.8209,-378.8991,Ethanol,Pyridine,
-105.4041,544.4089,Ethanol,MethylMethacrylate,
-260.5944,652.4019,Ethanol,Methylisopropyl,
-13.0186,405.1733,Ethanol,PropylAcetate,
82.3751,-18.3336,Ethanol,ThreeMethylOnebutanol,
-169.9204,998.8196,Ethanol,Bromobenzene,
-205.6039,1032.724,Ethanol,Chlorobezene,
-105.3291,766.4564,Ethanol,Benzene,
1262.584,-446.4834,Ethanol,Aniline,
139.4905,-225.4203,Ethanol,TwoMethylpyridine,
-578.9542,942.9023,Ethanol,ThreeMethylpyridine,
-85.691,925.1697,Ethanol,Cyclohexane,
634.1484,-339.732,Ethanol,Cyclohexanol,
-38.4912,384.6715,Ethanol,ButylAcetate,
-177.4837,780.0513,Ethanol,Dipropylether,
-305.4069,674.3341,Ethanol,Triethylamine,
-147.1104,878.1135,Ethanol,Toluene,
928.9185,-379.9781,Ethanol,Anisole,
-432.4206,583.2958,Ethanol,Two6Dimethylpyridine,
-161.4264,631.1662,Ethanol,Pentylacetate,
-115.7807,1040.2891,Ethanol,Heptane,
-127.6343,841.5199,Ethanol,Ethylbezene,
-100.7193,794.4242,Ethanol,Pxylene,
-152.8323,1156.688,Ethanol,Octane,
-165.9382,1120.4853,Ethanol,TwoTwoFourTrimethylpentane,
-401.4408,1783.7857,Ethanol,Hexadecane,
-180.7604,627.9668,Ethanol,Oleicacid,
190.5947,290.554,Onepropanol,Water,
-13.5513,473.6899,OnePropanol,Tetrachloroethylene,
-729.0848,1660.0903,OnePropanol,Aceticacid,
-83.3064,-4.418,OnePropanol,Propionicacid,
-300.7498,511.0851,OnePropanol,TwoMethoxyethanol,
-274.4208,15.9476,Propylamine,OnePropanol,
114.789,-169.5098,OnePropanol,Methacrylicacid,
47.0059,-46.6524,OnePropanol,TwoMethylOnePropanol,
423.4439,-423.9207,OnePropanol,Pyridine,
-27.435,256.1456,OnePropanol,Methylmethacrylate,
-91.8942,278.7259,OnePropnaol,Propylacetate,
-19.2402,27.9161,OnePropanol,ThreeMethylbutanol,
1.3035,311.4544,OnePropnaol,Chlorobenzene,
163.7157,-281.9383,OnePropanol,TwoMethylpyridine,
199.1862,-290.3666,OnePropanol,ThreeMethylpyridine,
180.7309,-293.8268,OnePropanol,FourMethylpyridine,
-585.5214,1186.3162,OnePropanol,Propylpropionate,
-1.1304,48.1557,OnePropanol,Dipropylamine,
-218.4928,677.0367,OnePropanol,Hexamethyldisiloxane,
-1.7464,340.4905,OnePropanol,Toluene,
-595.2165,936.7248,OnePropnaol,Two6Dimethylpyridine,
-91.2018,743.266,OnePropanol,Heptane,
-74.7475,427.6292,OnePropanol,Pxylene,
-48.752,525.9933,OnePropanol,Octane,
-175.9432,744.763,OnePropanol,Decane,
89.4506,31.0832,OnePropanol,OneDecanol,2c
327.443,64.4408,Twopropanol,Water,
103.5993,-103.7179,TwoPropanol,OnePropanol,
350.1707,309.5428,isobutanol,Water,
230.5098,271.3048,Tertbutanol,Water,
281.7442,47.6526,Allylalcohol,Water,
623.2636,-2.0107,MethylFormate,Methanol,
830.7943,47.5023,Methylacetate,Water,
611.2312,-70.982,MethylAcetate,Methanol,
267.0169,-79.2922,MethylAcetate,Ethanol,
1441.5619,-205.7336,Ethylacetate,Water,
436.0416,-98.562,EthylAcetate,Ethanol,
483.9533,-67.6116,VinylAcetate,Ethanol,
1198.9207,102.271,Diethylether,Water,
906.3646,-157.3556,DiethylEther,Methanol,
642.6982,-171.8091,DiethylEther,Ethanol,
1415.2748,81.2811,Diisopropylether,Water,
1024.985,-203.711,MethylTertButylEther,Methanol,
1098.9416,-44.1418,Dimethoxymethane,Water,
657.2765,-4.6934,Dimethoxymethane,Methanol,
10542.2026,-344.1682,Ethyleneoxide,Water,
791.0185,-210.2403,PropyleneOxide,Methanol,
835.2626,10.5163,Tetrahydrofuran,Water,
559.1539,-260.1951,Tetrahydrofuran,Ethanol,
381.8256,-244.669,Tetrahydrofuran,OnePropanol,
1029.3332,-171.0842,Tetrachloromethane,Methanol,
957.274,-252.3762,Tertachloromethane,OnePropanol,
7661.2894,-187.7083,VinylCloride,Methanol,
1516.5558,-229.3734,Dichloromethane,Methanol,
796.2935,-172.0713,Dichloromethane,Ethanol,
1295.4282,-271.461,Chloroform,Methanol,
981.7658,-335.4504,Chloroform,Ethanol,
272.4952,107.634,OneTwoDichloroethane,OnePropanol,
538.1802,-90.5235,Trichloroethylene,OnePropanol,
1260.1312,81.3308,ThreechloroOnepropene,Water,
748.22,-172.7007,Butylchloride,OnePropanol,
-1070.3252,1057.3916,Dimethylamine,Water,
-520.5358,-200.8021,Dimethylamine,Methanol,
-1071.4286,1018.5371,Dimethylamine,Ethanol,
-71.2521,-231.1124,Dimethylamine,OnePropanol,
149.3345,-412.065,Ethylamine,Water,
242.4137,2458.766,Triethylamine,Water,
701.924,-371.1197,Triethylamine,OnePropanol,
721.1889,-312.3228,Diethylamine,Water,
-613.4553,1006.1474,Diethylamine,Ethanol,
426.0894,-302.8076,Propylamine,Water,
-379.6694,874.815,nButylamine,Water,
-17.1391,-220.6087,Butylamine,Ethanol,
-188.4751,-68.9772,Butylamine,OnePropanol,
-553.685,1001.0323,Isopropylamine,Water,
266.3109,332.5988,Acetonitrile,Water,
367.0686,510.5582,Propionitrile,Water,
395.4004,537.1531,Acrylonitrile,Water,
535.7543,-38.2344,Hexafluorobenzene,OnePropnaol,
-110.3829,698.7989,Water,Acetone (Kato et al),
752.9217,39.6746,Water,TwoButanone,
934.8834,-501.3763,Water,Phenol,
-251.6868,407.0073,Water,Aceticacid,
-867.7066,2091.772,Water,nMethylformamide,
-292.3021,-523.6271,Water,Dimethylsulfoxide,
-175.0216,-724.876,Water,Ethylenediamine,
-417.4722,1189.9025,Water,Acrylicacid,
486.4688,-146.6582,Water,Propionicacid,
-210.5536,915.1339,Water,OneThreeFivetrioxane,
639.5742,-556.8715,Water,Nndimethylformamide,
-444.013,1302.0378,Water,OneFourdioxane,
